Day	Time	Topic	Support Person
	7:00 AM	Breakfast	
	8:00 AM	Field Work	Students
	12:00 PM	Lunch	
	4:00 PM	Data Analysis	Students
	6:00 PM	Dinner	
	7:00 AM	Students presentations	Students
			
Fri, Jan 31	Travel Back to Panama		
	6:30 AM	Breakfast	
	8:00 AM	Travel Back to Panama	
	12:00 PM	Lunch	
	1:00 - 5:00 PM	Travel Back to Panama	
	6:00 PM	Dinner	
	7:00 PM	Course Wharp up	Owen /Carlos /Janeene
			
Sat, Feb 1	Gamboa	Free day	
	7:00 AM	Breakfast 	
	12:00PM	Lunch	
	6:00 PM	Dinner	
	8:00 PM	No evening lecture	
			
Sun, Feb 2	Gamboa	Free day	
	7:00 AM	Breakfast 	
	12:00PM	Lunch	
	6:00 PM	Dinner	
	8:00 PM	No evening lecture	
			
Mon, Feb 3	Gamboa	Environmental Policy	Gordon Hickey
	6:00 AM	Breakfast	
	6:30 AM		
	8:00 AM		
	12:00PM	Lunch	
	1:00 PM- 4:00PM 		
	6:00PM	Dinner	
	8:00 PM	No evening lecture	
			
Tues, Feb 4	Gamboa	Environmental Policy	Gordon Hickey
	6:00 AM	Breakfast	
	6:30 AM		
	8:00 AM		
	12:00PM	Lunch	
	1:00 PM- 4:00PM 		
	6:00PM	Dinner	
	8:00 PM	No evening lecture	
			
Wen, Feb 5	Gamboa	Environmental Policy	Gordon Hickey
	6:00 AM	Breakfast	
	6:30 AM		
	8:00 AM		
	12:00PM	Lunch	
	1:00 PM- 4:00PM 		
	6:00PM	Dinner	
	8:00 PM	No evening lecture	
			
Thur, Feb 6	Gamboa	Environmental Policy	Gordon Hickey
	6:00 AM	Breakfast	
	6:30 AM		
	8:00 AM		
	12:00PM	Lunch	
	1:00 PM- 4:00PM 		
	6:00PM	Dinner	
	8:00 PM	End of the Course	
